location,1564830034,(38.708833905, -9.136992185),97.99474484566599,4.9
device,1564830035,A4:50:46:96:D7:44,"Mi Phone",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564830035,30:21:9E:52:D6:55,"BT Speaker",DEVICE_TYPE_CLASSIC,AUDIO_VIDEO,AUDIO_VIDEO_HANDSFREE
device,1564830038,60:21:01:8A:83:D2,"Rianne⚡",DEVICE_TYPE_CLASSIC,PHONE,PHONE_SMART
device,1564830040,79:E1:00:ED:73:21,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,5D:2D:5C:69:D6:98,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,52:A3:6A:91:0A:09,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,4E:A8:04:04:B2:E2,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,56:9C:E5:87:FD:26,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,53:0E:18:AE:60:D3,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,57:2A:9D:10:85:04,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,5E:8B:E2:27:C8:6B,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,7F:DC:5B:4A:84:6E,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830040,62:4A:47:78:2A:60,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,46:66:21:40:25:C4,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,6F:71:1C:8B:10:A8,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,65:36:12:FD:B9:A8,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,62:19:3D:A5:FE:58,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,66:4C:94:49:22:85,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,76:16:54:7D:0C:E7,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,6D:24:31:5F:44:07,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,7F:BD:87:2F:78:9B,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830041,73:8B:D7:C1:65:12,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830042,7D:92:4E:5C:6B:D6,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830042,4D:AD:68:B1:5D:51,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830042,67:A4:EB:07:57:4A,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830042,50:62:76:80:F8:17,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830042,48:C0:88:74:14:B6,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830042,73:7F:37:AC:77:A6,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830050,60:E6:74:6A:00:96,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
device,1564830050,4D:72:B1:7D:D0:A3,"null",DEVICE_TYPE_LE,UNCATEGORIZED,
